UID,Amazon Name,USDA Name,USDA Food ID,Match Confidence,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
7f015b44,Natural Mineral Water,NATURAL MINERAL WATER,2149570,1.0,240.0,ml,0.0,0.0,0.0,0.0,0.0,0.0
1baa1a1a,365 by Whole Foods Market Coconut Milk Unsweetened,"365 EVERYDAY VALUE, WHOLE MILK RICOTTA CHEESE",2052286,0.55,62.0,g,161.0,8.06,3.23,12.9,0.0,3.23
ce63aa39,Amazon Fresh Creamy Peanut Butter,Peanut butter,2707537,0.7,,undetermined,598.0,22.2,22.3,51.4,5.0,10.5
92191a17,365 by Whole Foods Market Brown Large Eggs,"365 EVERYDAY VALUE, ORGANIC EGG WHITES",2052314,0.676923076923077,46.0,g,54.0,10.87,0.0,0.0,0.0,0.0
a80d9e5f,Ball Park Hot Dog Buns,"Rolls, hot dog, plain",172905,0.9,113.0,GRM,280.0,7.0,52.0,4.0,2.0,6.0
2ec41b9f,365 by Whole Foods Market Cottage Cheese,"365 EVERYDAY VALUE, WHOLE MILK RICOTTA CHEESE",2052286,0.8727272727272728,62.0,g,161.0,8.06,3.23,12.9,0.0,3.23
55264932,Fresh Blueberries 1 Pint,"Blueberries, raw",171711,0.9,473.0,MLT,57.0,0.74,14.49,0.33,2.4,9.96
912b8168,365 by Whole Foods Market Organic Broccoli,"WHOLE FOODS MARKET, BROCCOLI FLORETS",2051925,0.6333333333333333,85.0,g,35.0,2.35,7.06,0.0,3.5,1.18
71737a9a,365 by Whole Foods Market Organic Cauliflower,"Cauliflower, raw",169986,0.9,15.0,g,25.0,1.92,4.97,0.28,2.0,1.91
7e21fe56,365 by Whole Foods Market Sun Dried Tomatoes,"Tomatoes, sun-dried",170110,0.9,245.0,g,258.0,14.11,55.76,2.97,12.3,37.59
a02a5418,Pasta 16 Oz,"Pasta with sauce, NFS",2708828,0.4666666666666667,,undetermined,125.0,5.86,19.2,2.58,1.6,2.44
b933d0f7,bakerly Hand Braided Brioche,HAND BRAIDED BRIOCHE,2096235,0.75,50.0,g,380.0,8.0,52.0,16.0,2.0,14.0
28f0b24f,Quaker Rice Cakes Lightly Salted,"LIGHTLY SALTED RICE CAKES, LIGHTLY SALTED",2549940,0.5,30.0,GRM,400.0,6.67,83.33,3.33,3.3,0.0
9ebeb9cb,EPIC PROVISIONS Himalayan Sea Salt Bar,EPIC Sea Salt Pepper Beef Bar,2719754,0.8,37.0,GRM,353.5,28.3781,9.1757,23.4081,6.8676,0.6946
0ebbe638,La Preferida Black Beans,"LA PREFERIDA, BLACK BEANS",2018045,0.6,130.0,g,85.0,5.38,14.62,0.77,5.4,0.77
3df471c0,Amazon Brand - Happy Belly Sliced Peaches,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4818181818181818,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
ef45ff98,Amazon Fresh Brand Organic Gala Apples,"Apples, raw, with skin",171688,0.9,154.0,GRM,52.0,0.26,13.81,0.17,2.4,10.39
83c154de,Amazon Fresh Cage Free Large Brown Eggs,CAGE FREE LARGE FRESH BROWN EGGS,2409061,1.0,56.0,g,125.0,10.71,0.0,8.93,0.0,0.0
2a751a7d,Dash Salt-Free Seasoning Blend Original,"MRS. DASH, ORIGINAL SALT-FREE SEASONING BLEND",1983571,0.5714285714285714,,,0.0,0.0,142.86,0.0,0.0,0.0
0da3acb4,Ball Park Classic Hot Dogs,"Ball Park Beef Hot Dogs, 4:1 ",2723089,0.675,113.0,GRM,300.0,11.0,5.0,26.0,0.0,0.0
0c9a16bd,Amazon Fresh Greek Nonfat Plain Yogurt,"PLAIN GREEK NONFAT YOGURT, PLAIN",2429281,0.7285714285714285,150.0,g,53.0,10.0,4.0,0.0,0.7,3.33
640bbc7e,Classico Vodka Sauce Pasta Sauce,"VODKA PASTA SAUCE, VODKA SAUCE",2474148,0.6,124.0,g,113.0,2.42,8.87,7.26,2.4,4.84
177677b9,365 by Whole Foods Market Mushrooms,"Mushrooms, white, raw",169890,0.9,30.0,g,22.0,3.09,3.26,0.34,1.0,1.98
acfb15ba,Amazon Brand - Happy Belly Whole Blueberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4818181818181818,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
47998489,Cherry Tomatoes,CHERRY TOMATOES,2281663,1.0,28.0,g,21.0,0.0,4.64,0.0,0.0,0.0
a2cf8004,Red Raspberries,RED RASPBERRIES,2472708,1.0,140.0,g,43.0,1.43,10.0,0.0,2.9,5.0
39a827e0,365 Everyday Value Organic Red Potatoes,"365 EVERYDAY VALUE, RED PEPPER",2029540,0.675,,,0.0,0.0,0.0,0.0,0.0,0.0
72b09045,Blackberries,BLACKBERRIES,2388113,1.0,140.0,g,43.0,1.43,9.29,0.36,5.0,4.29
11199a50,Yellow Onion,YELLOW ONION,1605785,1.0,148.0,g,30.0,0.68,7.43,0.0,2.0,6.08
3d9a7fc9,365 by Whole Foods Market Organic Green Beans,"365 EVERYDAY VALUE, ORGANIC, BLACK BEANS",2028040,0.4666666666666667,50.0,g,340.0,22.0,64.0,0.0,24.0,2.0
c1ee01b4,Amazon Brand - Happy Belly Sliced Strawberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4818181818181818,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
d2a05c21,Crazy Richard's Natural Creamy Peanut Butter,Peanut butter,2707537,0.6333333333333333,,undetermined,598.0,22.2,22.3,51.4,5.0,10.5
71a1fe59,Honeydew Melon,"HONEYDEW MELON FLAVOR DRINK MIX, HONEYDEW MELON",1904780,0.7,4.5,g,333.0,0.0,88.89,0.0,0.0,66.67
f68cc9f2,Cantaloupe Melon,CANTALOUPE MELON,2633820,1.0,,,35.0,0.78,8.23,0.0,0.8,7.84
